"id","userId","sl_no","type","itemId","originId","amount","quantity","createdAt","updatedAt","stock","avgRate"
"f01800c9-7957-4215-927a-7ac088c967e8","785f39c4-0c76-4730-a663-e68df8e16bde","30","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","c48bb4c9-b68b-4bb0-b0e7-ca68b700e4ae","170","13","2024-09-28 19:37:00.621","2024-09-30 12:38:56.981","192","12.93"
"f0eb054f-2296-4682-ba71-d6180f711783","785f39c4-0c76-4730-a663-e68df8e16bde","1","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","513ccec2-2702-455c-8e17-caac1cdb996b","170","13","2024-09-27 06:12:23.018","2024-09-27 06:12:23.018","125","12.98"
"f22804c4-fd15-48f1-9975-a10dcf705761","4e2364e5-6611-4e4f-907b-43923da742f4","4","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","2e22fcab-6896-4999-bcb8-3eae746250c7","360","15","2024-09-29 09:02:25.216","2024-09-29 09:02:25.216","360","12.99"
"f26cf181-3b4e-4eea-adfa-f1dc3ea4a408","785f39c4-0c76-4730-a663-e68df8e16bde","18","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","9aecf87c-0b29-4cfb-ac11-8ed2d3bfb28d","260","20","2024-09-27 15:54:51.303","2024-09-30 05:50:18.509","123","12.91"
"f298bb5c-8899-458d-9a04-9fca7727bab3","785f39c4-0c76-4730-a663-e68df8e16bde","41","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","9aecf87c-0b29-4cfb-ac11-8ed2d3bfb28d","155","12","2024-09-26 14:44:49.756","2024-09-30 12:38:56.981","181","12.98"
"f2a2332a-1599-443e-840c-457aa8cf98a1","785f39c4-0c76-4730-a663-e68df8e16bde","24","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","9aecf87c-0b29-4cfb-ac11-8ed2d3bfb28d","221","17","2024-09-29 19:53:51.745","2024-09-30 12:38:56.981","276","12.99"
"f345b52f-2267-4a89-bb9d-e684112bef65","4e2364e5-6611-4e4f-907b-43923da742f4","25","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","2e22fcab-6896-4999-bcb8-3eae746250c7","130","10","2024-09-30 14:27:44.911","2024-09-30 15:02:28.828","302","13.00"
"f4c71793-8c7e-4259-82a1-f2f9bb87fca3","4e2364e5-6611-4e4f-907b-43923da742f4","37","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","2e22fcab-6896-4999-bcb8-3eae746250c7","260","20","2024-09-26 13:34:38.87","2024-09-30 12:38:56.981","331","12.98"
"f7072f04-ff4c-489a-a789-aa3a7e95ab11","0a486e2b-c76f-4f4f-8b8e-c4a6d71a9461","28","BUY","8c8257d0-878a-473e-a9d1-e3e3a73af043","2e22fcab-6896-4999-bcb8-3eae746250c7","915","101","2024-09-26 12:29:13.294","2024-09-30 12:38:56.981","264","8.90"
"f71ca072-839e-481a-b29d-4c204198fc5e","785f39c4-0c76-4730-a663-e68df8e16bde","59","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","513ccec2-2702-455c-8e17-caac1cdb996b","390","30","2024-09-26 17:13:16.915","2024-09-30 12:38:56.981","332","12.99"
"f7b8891a-ca87-4743-a301-acc321496523","24b5aef6-9ed2-4a75-ad69-afa805d17749","9","SELL","c18c0ba0-0833-46d4-91cb-4239dfa99618","3a15ea2f-ac58-4668-97aa-7f71e2c04a53","258","6","2024-09-25 10:09:46.972","2024-09-30 05:50:18.509","490","43.00"
"f86d8d11-0180-4857-a836-4a8a129a6efe","785f39c4-0c76-4730-a663-e68df8e16bde","32","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","9aecf87c-0b29-4cfb-ac11-8ed2d3bfb28d","130","10","2024-09-30 17:34:06.325","2024-09-30 17:34:06.325","268","13.00"
"f8825e6f-59be-41c5-9a1e-daf92bbab430","785f39c4-0c76-4730-a663-e68df8e16bde","11","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","9aecf87c-0b29-4cfb-ac11-8ed2d3bfb28d","130","10","2024-09-28 10:25:42.691","2024-09-30 05:50:18.509","200","12.93"
"f8d391a3-3b67-4420-a07a-1ebee9490d3d","785f39c4-0c76-4730-a663-e68df8e16bde","23","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","9aecf87c-0b29-4cfb-ac11-8ed2d3bfb28d","100","7","2024-09-29 19:53:25.175","2024-09-30 12:38:56.981","293","12.99"
"fa2d5990-216f-4c64-bf15-4bdd77525d8b","4e2364e5-6611-4e4f-907b-43923da742f4","16","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","2e22fcab-6896-4999-bcb8-3eae746250c7","100","7","2024-09-25 12:37:16.287","2024-09-30 05:50:18.509","87","13.05"
"fbaa7a55-12d8-405d-ab77-8b4d6026c5e8","4e2364e5-6611-4e4f-907b-43923da742f4","25","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","2e22fcab-6896-4999-bcb8-3eae746250c7","390","30","2024-09-28 18:28:06.558","2024-09-30 12:38:56.981","177","12.93"
"fc7c7627-13a3-4df2-a6f7-8c17c76900a0","785f39c4-0c76-4730-a663-e68df8e16bde","41","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","2e22fcab-6896-4999-bcb8-3eae746250c7","325","25","2024-09-25 18:27:25.076","2024-09-30 12:38:56.981","302","13.02"
"fc9b030a-0d94-439e-9373-7d0dcc32a194","0a486e2b-c76f-4f4f-8b8e-c4a6d71a9461","17","BUY","8c8257d0-878a-473e-a9d1-e3e3a73af043","9aecf87c-0b29-4cfb-ac11-8ed2d3bfb28d","930","104","2024-09-27 15:48:33.779","2024-09-30 05:50:18.509","143","8.81"
"fd3cc4c5-8d1b-481f-9677-9fd59f04e10f","785f39c4-0c76-4730-a663-e68df8e16bde","5","SELL","c331abe1-e7aa-4d31-9f10-11b98219cb66","f0f9c94d-1cdd-4f05-a5aa-cd93470b1f11","840","15","2024-09-26 05:16:06.583","2024-09-26 05:16:06.583","466","57.57"
"fd858b04-37d8-4ced-ae4c-8a232c186997","785f39c4-0c76-4730-a663-e68df8e16bde","31","SELL","c331abe1-e7aa-4d31-9f10-11b98219cb66","f0f9c94d-1cdd-4f05-a5aa-cd93470b1f11","56","1","2024-09-25 15:49:57.947","2024-09-30 12:38:56.981","481","58.26"
"fd99d401-62ba-4362-9de0-2c4dd5ffb7ee","708673fd-51aa-4253-8c4f-8f13c2f3c70c","52","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","c48bb4c9-b68b-4bb0-b0e7-ca68b700e4ae","221","17","2024-09-25 20:06:12.955","2024-09-30 12:38:56.981","227","12.98"
"fe9e65f9-c99c-4675-94b7-8ae3f7295fb6","785f39c4-0c76-4730-a663-e68df8e16bde","6","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","513ccec2-2702-455c-8e17-caac1cdb996b","650","50","2024-09-27 10:49:47.452","2024-09-27 10:49:47.452","58","12.98"
"fffdd112-ef3d-4d0a-92c3-89dbd46a1230","4e2364e5-6611-4e4f-907b-43923da742f4","26","SELL","c331abe1-e7aa-4d31-9f10-11b98219cb66","f0f9c94d-1cdd-4f05-a5aa-cd93470b1f11","570","10","2024-09-25 14:50:15.259","2024-09-30 12:38:56.981","482","58.33"
